"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YIL049W"	-0.21	-0.546	-0.46	-0.187	-0.248	-0.251	-0.458
"YJL195C"	0.058	-0.163	-1.235	-1.072	-1.193	-0.992	-0.458
"YBR016W"	-0.086	-0.645	-0.704	-0.519	-0.355	0.503	-0.459
"YBR275C"	-0.286	-0.14	-0.217	-0.207	-0.649	-0.407	-0.46
"YKR012C"	0.177	0.329	0.262	0.106	-0.052	-1.003	-0.46
"YOR270C"	0.138	0.225	0.316	0.535	0.308	-0.352	-0.462
"YDR208W"	-0.159	-0.428	-0.815	-0.667	-0.444	-0.195	-0.466
"YOR239W"	0.004	0.144	-0.06	-0.386	0.159	-0.478	-0.467
"YNL078W"	0.198	-0.243	-0.739	-0.473	-1.07	-0.61	-0.467
"YJR076C"	-0.093	-0.118	-0.297	-0.158	0.139	-0.343	-0.467
"YLR337W"	0.005	-0.167	-0.605	-0.198	-0.693	-0.264	-0.467
"YCL030C"	0.212	0.593	0.828	1.012	1.296	-0.09	-0.468
"YBL005W-B"	-0.071	-0.377	0.017	-0.259	-0.687	-0.142	-0.469
"YGL157W"	0.148	0.185	0.113	-0.265	-0.565	-0.64	-0.469
"YHR107C"	0.011	-0.126	-0.105	0.004	0.145	-0.099	-0.469
"YIL082W"	-0.145	-0.143	-0.155	-0.119	-0.205	-0.076	-0.469
"YLR322W"	-0.048	-0.284	-0.369	-0.211	-0.064	-0.187	-0.469
"YOR315W"	0.447	0.612	0.545	0.061	0.007	-0.056	-0.469
"YLR100W"	0.274	0.105	-0.183	0.033	-0.051	-0.475	-0.47
"YML081W"	-0.079	-0.027	-0.464	-0.418	-0.414	-0.854	-0.472
"YLL049W"	-0.043	-0.175	-0.065	0.232	0.083	-0.45	-0.474
"YLR066W"	0.102	0.172	0.065	0.189	0.672	0.245	-0.474
"YBR197C"	0.042	-0.2	-0.027	0.046	-0.232	0.12	-0.475
"YNL063W"	-0.126	-0.32	-0.337	-0.371	-0.529	-0.113	-0.476
"YDL163W"	-0.051	-0.132	-0.311	-0.223	-0.103	-0.285	-0.476
"YHL017W"	-0.077	0.105	0.354	0.08	0.092	0.444	-0.476
"YOL115W"	-0.043	0.077	0.284	-0.602	-0.201	-0.348	-0.478
"YHL013C"	-0.065	-0.166	-0.112	-0.097	-0.407	-0.571	-0.479
"YOL068C"	0.082	-0.312	-0.252	-0.021	-0.229	-0.207	-0.479
"YIL040W"	-0.251	-0.18	0.034	0.001	0.259	-0.485	-0.479
"YNL082W"	0.051	-0.2	-0.193	-0.046	0.293	-0.251	-0.479
"YDL195W"	0.322	0.289	-0.049	-0.274	-0.499	-0.942	-0.479
"YML001W"	0.035	0.287	-0.238	0.049	0.531	0.252	-0.479
"YNL029C"	-0.344	-0.527	-0.391	-0.13	-0.277	-0.485	-0.48
"YPR129W"	0.166	0.027	-0.013	-0.049	-0.114	-0.017	-0.481
"YLL050C"	0.086	0.03	-0.152	0.081	0.39	0.089	-0.481
"YNL234W"	0.078	-0.028	-0.117	-0.409	-0.489	0.494	-0.482
"YJR027W"	0.124	0.406	-0.075	0.145	0.202	-0.487	-0.482
"YOL033W"	-0.232	-0.317	-0.377	-0.107	0.085	-0.211	-0.482
"YGL220W"	-0.153	-0.27	-0.157	-0.134	0.217	-0.114	-0.482
"YGR261C"	0.222	0.136	-0.003	-0.069	0.053	-0.03	-0.483
"YNR070W"	-0.117	-0.396	-0.49	-0.372	-0.521	-0.863	-0.483
"YLR050C"	0.125	0.063	0.071	0.383	0.254	-0.265	-0.484
"YPL046C"	0.131	-0.033	0.062	0.29	0.046	-0.482	-0.486
"YPR173C"	0.053	-0.031	-0.189	0.147	0.298	0.187	-0.486
"YOR164C"	0.095	0.232	0.182	0.104	0.196	0.186	-0.486
"YKR028W"	0.182	0.093	0.082	0.222	0.18	-0.357	-0.487
"YNR061C"	0.069	0.099	0.299	0.277	0.07	-0.281	-0.487
"YPR016C"	-0.009	0.188	0.272	-0.125	-0.166	-0.441	-0.488
"YDR006C"	0.218	-0.165	-1.249	-1.417	-1.437	-0.517	-0.489
"YNL016W"	0.048	-0.052	-0.376	-0.437	-0.628	-0.667	-0.489
"YKL004W"	0.064	-0.022	0.095	-0.12	-1.428	-0.742	-0.489
"YJL173C"	-0.104	-0.201	-0.244	-0.161	-0.329	-0.274	-0.489
"YGL058W"	0.057	0.166	-0.118	-0.155	-0.15	-0.512	-0.49
"YKL202W"	-0.082	-0.231	-0.449	-0.266	-0.389	-0.727	-0.49
"YJL150W"	-0.208	-0.624	-0.264	-0.446	-0.084	-0.102	-0.491
"YNR052C"	0.171	-0.101	-0.188	-0.203	-0.298	-0.456	-0.491
"YKR015C"	-0.046	-0.091	-0.173	-0.295	-0.142	-0.633	-0.492
"YER075C"	0.322	-0.149	-0.723	-0.844	-0.968	-0.553	-0.492
"YJR092W"	0.025	-0.332	-0.162	-0.09	-0.162	-0.384	-0.492
"YGR158C"	0.147	-0.038	0.124	-0.162	-0.407	-0.404	-0.492
"YHR169W"	0.129	0.123	0.347	-0.595	-1.069	-0.299	-0.493
"YNL220W"	0.308	0.681	0.704	0.683	1.002	-0.056	-0.494
"YNL150W"	0.24	-0.039	0.062	0.031	0.097	-0.274	-0.496
"YDL212W"	0.071	-0.048	0.215	0.099	0.298	-0.423	-0.496
"YBR004C"	-0.065	-0.101	0.564	0.348	0.176	0.114	-0.497
"YLR235C"	-0.247	-0.011	-0.007	0.144	-0.003	-0.21	-0.498
"YFR001W"	0.294	0.458	0.373	-0.427	-0.377	-0.163	-0.5
"YLR357W"	0.379	0.175	-0.121	-0.109	-0.307	-0.259	-0.5
"GENOMIC 0.5X"	0.116	-0.039	-0.088	0.023	0.249	-0.402	-0.5
"YIL076W"	0.072	0.093	-0.06	0.212	0.399	0.568	-0.501
"YPR126C"	-0.366	-0.136	-0.377	-0.651	-0.36	0.339	-0.501
"YDR156W"	-0.425	-0.128	0.057	-0.223	-0.513	0.141	-0.502
"YPL267W"	-0.297	-0.129	-0.16	-0.144	0.087	-0.654	-0.502
"YDR303C"	0.445	0.104	-0.069	-0.311	-0.269	-0.717	-0.502
"YHR143W"	0.515	0.329	1.039	0.297	0.014	0.033	-0.502
"YDR381W"	0.381	0.05	-0.205	0.107	-0.043	0.095	-0.503
"YDR215C"	0.261	0.261	-0.188	0.068	0.036	-0.657	-0.504
"YPR189W"	-0.033	0.1	-0.32	0.043	-0.259	-0.754	-0.505
"YML125C"	0.111	0.059	0.593	-0.01	-0.107	0.064	-0.506
"YKR082W"	0.223	0.173	-0.266	-0.241	-0.324	-0.427	-0.507
"YOL012C"	-0.249	-0.325	-0.255	-0.311	-0.086	-0.784	-0.507
"YGL026C"	0.276	0.43	0.333	0.261	0.061	-0.199	-0.507
"YFL026W"	0.167	0.292	0.593	0.136	0.36	-0.35	-0.507
"YPL038W"	-0.104	0.081	-0.113	-0.144	-0.113	0.17	-0.507
"YIL009W"	0.177	0.428	0.209	0.131	-0.188	-0.136	-0.507
"YNL154C"	0.427	0.006	0.406	0.142	0.08	0.032	-0.509
"YOL029C"	-0.149	-0.309	-0.116	0.164	-0.07	-0.577	-0.511
"YPR053C"	0.148	-0.108	0.184	0.029	0.326	-0.05	-0.512
"YHR069C"	0.074	0.075	-0.346	-0.63	-0.16	-0.607	-0.514
"YMR319C"	-0.083	0.143	-0.346	-0.375	0.048	-0.604	-0.515
"YHR093W"	-0.348	-0.387	-0.434	-0.256	-0.407	-0.4	-0.515
"YIL051C"	0.205	0.046	0.043	0.268	0.049	-0.37	-0.516
"YPL022W"	0.541	0.397	-0.493	0.134	0.164	-1.065	-0.517
"YDR172W"	0.311	0.173	0.113	-0.212	-0.428	-0.131	-0.517
"YPL237W"	0.148	0.177	0.105	0.258	0.318	-0.109	-0.517
"YGL257C"	0.195	0.265	0.203	0.237	0.214	-0.613	-0.518
"YDR190C"	0.08	0.088	0.157	0.176	0.164	0.021	-0.518
"YNR048W"	-0.279	-0.509	-0.816	-0.647	-0.628	-0.695	-0.519
"YDR312W"	0.069	-0.149	0.218	-0.709	-0.67	0.083	-0.519
"YMR075W"	-0.14	-0.513	-0.421	-0.075	-0.305	-0.015	-0.519
"YNL057W"	0.058	-0.142	-0.252	-0.169	0.041	-0.253	-0.519
"YNL233W"	-0.076	-0.313	-0.515	-0.139	-0.042	-0.583	-0.52
"YDL240W"	-0.018	0.031	-0.315	-0.393	-0.309	0.343	-0.52
"YLR302C"	-0.399	-0.447	-0.353	-0.279	-0.231	-0.27	-0.521
"YKL063C"	-0.098	-0.2	-0.175	0.187	0.553	0.21	-0.521
"YPR133C"	0.009	-0.014	-0.007	-0.106	0.12	0.009	-0.521
"YOL090W"	-0.101	-0.222	0.151	-0.01	0.207	-0.006	-0.522
"YER073W"	0.273	-0.022	-0.029	-0.512	-0.837	-0.436	-0.522
"YGR275W"	-0.029	-0.186	-0.044	0.088	0.031	-0.066	-0.525
"YDR211W"	0.519	0.39	0.482	0.15	-1.152	-0.571	-0.525
"YJR032W"	0.13	-0.001	0.105	-0.093	0.236	-0.867	-0.527
"YKR079C"	0.167	0.095	0.267	-0.034	-0.301	-0.064	-0.527
"YDL235C"	-0.738	-0.596	-0.969	-0.593	-0.436	-0.516	-0.528
"YDL127W"	0.207	0.426	-0.744	-0.502	-0.406	-0.364	-0.53
"YJL092W"	-0.134	-0.089	-0.004	0.137	-0.159	-0.798	-0.53
"YOR360C"	0.11	0.197	0.124	-0.205	-0.129	-0.132	-0.53
"NORF 9"	0.004	0.076	-0.141	-0.147	-0.194	-0.331	-0.53
"YIR033W"	0.122	0.026	-0.122	-0.155	-0.187	-0.712	-0.531
"YLL067C"	0.112	-0.044	-0.406	-0.004	-0.194	-0.647	-0.532
"YPR080W"	0.075	0.373	0.492	-0.16	0.229	0.011	-0.532
"YER064C"	-0.043	0.3	-0.204	-0.414	-0.468	-0.498	-0.532
"YPR175W"	-0.022	-0.085	-0.062	0.143	0.374	-0.265	-0.532
"YDL138W"	-0.235	-0.179	-0.376	-0.383	-0.419	-0.552	-0.534
"YBL101W-B"	0.291	0.375	0.001	0.049	-0.193	-1.016	-0.535
"YNL107W"	-0.011	0.465	-0.231	0.031	-0.273	0.242	-0.536
"YKL128C"	-0.07	0.211	0.063	-0.171	0.212	-0.156	-0.536
"YOR368W"	-0.132	-0.306	0.268	0.111	0.369	0.694	-0.536
"EMPTY"	1.098	0.337	-0.732	-0.087	-1.477	-2.944	-0.537
"YOL017W"	-0.239	0.308	-0.003	0.112	-0.015	0.126	-0.537
"YKL122C"	0.102	0.088	0.016	-0.192	0.254	-0.063	-0.537
"YML003W"	-0.041	-0.083	-0.289	-0.264	-0.015	-0.638	-0.538
"YHR108W"	0.285	0.522	0.158	-0.325	-0.197	-0.095	-0.538
"YJL204C"	0.001	-0.301	-0.052	-0.199	0.135	0.149	-0.538
"YDR416W"	-0.224	-0.34	-0.173	0.163	-0.167	-0.006	-0.538
"YJL117W"	0.492	0.392	0.247	-0.49	-0.415	-0.089	-0.539
"YDL100C"	0.151	0.46	-0.114	0.051	-0.086	-0.164	-0.542
"YJR057W"	-0.253	-0.519	-0.316	0.33	0.134	-0.153	-0.543
"YKL024C"	0.014	-0.146	-0.474	-0.609	-0.134	-0.162	-0.544
"YPL146C"	0.208	0.007	0.164	-0.197	-0.303	-0.372	-0.545
"YDR372C"	-0.074	-0.159	0.325	0.101	0.318	0.01	-0.546
"YDR370C"	-0.129	-0.436	0.022	-0.494	-0.375	-0.098	-0.547
"YLR194C"	-0.068	-0.094	-0.313	-0.015	-0.327	-0.132	-0.547
"YNL228W"	0.185	-0.133	0.16	-0.435	-0.381	-0.531	-0.549
"YML065W"	-0.033	-0.145	-0.062	-0.142	-0.218	-0.253	-0.549
"YDR410C"	-0.005	-0.029	0.236	0.147	0.066	-0.124	-0.55
"YBR244W"	0.078	0.093	0.375	0.179	-0.033	-0.287	-0.55
"YGR176W"	0.077	-0.013	-0.298	-0.384	-0.508	-0.839	-0.551
"YGR175C"	0.295	0.487	0.794	0.313	0.332	-0.33	-0.551
"YBR096W"	0.027	0.286	0.412	0.282	-0.062	-0.168	-0.554
"YJL014W"	0.337	0.562	0.547	0.208	-0.027	-0.304	-0.555
"NORF 49"	0.134	0.04	0.065	0.075	0.169	-0.668	-0.555
"YOL006C"	0.137	0.131	0.132	-0.156	-0.07	-0.573	-0.556
"YPL254W"	0.141	-0.013	0.174	0.1	-0.058	-0.065	-0.557
"YDR420W"	0.064	-0.317	-0.42	-0.101	-0.497	-0.817	-0.557
"YMR301C"	-0.036	-0.062	-0.464	-0.404	-0.311	-0.92	-0.557
"YPL234C"	-0.134	-0.081	0.114	0.206	0.548	-0.474	-0.558
"YML021W"	-0.25	-0.283	0.259	0.055	-0.431	0.077	-0.558
"YOL092W"	0.084	0.008	0.226	0.192	0.159	-0.475	-0.559
"YDL096C"	0.283	0.206	-0.174	-0.016	0.08	-0.973	-0.559
"YCLX01W"	-0.127	-0.337	-0.035	0.027	-0.326	-0.195	-0.561
"EMPTY"	1.737	-2.778	0	-0.678	0.669	0	-0.562
"YBR205W"	0.211	0.03	0.001	0.177	0.177	-0.166	-0.563
"YCLX11W"	0.104	0.034	-0.15	-0.324	-0.443	-0.502	-0.563
"YIL127C"	0.094	0.137	0.161	-0.464	-0.55	0.191	-0.563
"YGL214W"	0.015	-0.028	-0.144	-0.16	-0.242	-0.533	-0.563
"YKL205W"	0.303	0.087	-0.367	-0.4	-0.359	-1.167	-0.563
"YLR004C"	-0.034	-0.333	-0.097	-0.392	-0.75	0.141	-0.566
"YOL136C"	0.069	0.489	0.437	0.052	-0.112	0.181	-0.567
"YOL028C"	0.156	0.254	-0.19	0.347	-0.28	-0.237	-0.567
"YNL044W"	-0.264	-0.17	0.128	0.044	0.412	-0.402	-0.567
"YJL134W"	-0.026	-0.322	-0.07	0.051	-0.098	-0.086	-0.567
"YLR109W"	0.133	0.222	-1.144	-1.035	-0.035	0.123	-0.569
"YIL038C"	0.086	0.09	-0.113	-0.089	0.016	-0.46	-0.569
"YOR203W"	-0.204	-0.088	-0.168	-0.045	0.357	-1.1	-0.569
"YLR285W"	0.045	-0.031	-0.063	-0.113	0.016	-0.752	-0.569
"YNR032W"	-0.238	-0.234	-0.307	-0.258	-0.157	0.258	-0.57
"YKR060W"	0.22	0.158	0.266	-0.101	-0.209	-0.259	-0.571
"YLR065C"	0.145	0.052	-0.105	0.072	0.18	-0.502	-0.571
"YML031W"	0.213	0.129	0.11	-0.158	0.059	-0.21	-0.572
"YML126C"	0.522	0.668	0.57	-0.078	0.041	-1.076	-0.573
"YDR390C"	-0.078	-0.013	-0.021	0.09	0.014	-0.132	-0.573
"YOR001W"	0.388	0.086	0.131	-0.589	-0.995	-0.883	-0.573
"YLR226W"	0.148	0.146	-0.275	-0.122	-0.059	-0.098	-0.576
"YML046W"	0.35	0.202	-0.094	-0.029	-0.306	-0.182	-0.577
"YLR200W"	-0.078	-0.148	-0.278	-0.431	-0.143	-0.124	-0.578
"YJR053W"	-0.311	-0.764	-0.634	-0.262	-0.164	-0.448	-0.578
"YOL056W"	-0.247	-0.31	-0.21	0.1	-0.067	-0.009	-0.578
"YJL212C"	0.276	0.252	0.538	-0.215	-0.743	0.012	-0.579
"YHR063C"	-0.126	-0.176	-0.057	-0.095	-0.028	-0.613	-0.58
"YOR166C"	-0.227	-0.063	-0.206	0.009	-0.286	0.172	-0.58
"YBL063W"	-0.043	0.931	-0.171	-0.254	-0.683	-0.938	-0.58
"YGR152C"	0.056	0.216	0.403	-0.055	0.169	0.322	-0.581
"YDR158W"	0.373	0.497	0.587	0.256	0.267	-0.459	-0.581
"YPL158C"	0.188	-0.037	-0.111	-0.226	-0.326	0.011	-0.581
"YKL211C"	0.35	0.277	0.122	-0.181	-0.392	-0.581	-0.582
"YLR103C"	-0.034	-0.16	-0.378	-0.223	-1.188	-0.901	-0.582
"YGR079W"	0.131	-0.063	-0.749	-0.276	-1.024	-0.319	-0.582
"YLR145W"	0.053	-0.105	-0.405	-0.1	-0.057	-0.544	-0.582
"YHR046C"	-0.201	-0.176	0.138	-0.01	-0.857	-1.21	-0.583
"YPL216W"	-0.205	-0.328	-0.219	-0.148	-0.121	-0.547	-0.584
"NORF 23"	-0.289	-0.277	-0.375	-0.214	-0.257	-1.151	-0.584
"YDR224C"	0.415	0.211	0.107	0.172	0.259	-0.127	-0.584
"YLL034C"	0.125	0.058	-0.151	-0.475	-0.039	-1.183	-0.586
"YIL095W"	-0.166	0.044	-0.252	-0.234	-0.324	-0.848	-0.588
"YJR132W"	0.114	0.065	0.495	-0.06	-0.363	-0.079	-0.589
"YDR400W"	-0.017	-0.048	0.112	-0.105	-0.235	-0.286	-0.59
"YMR057C"	-0.463	-0.576	-0.546	-0.38	-0.345	-0.474	-0.59
"YCRX11W"	0.042	0.051	-0.029	0.073	-0.082	-0.839	-0.594
"YPL036W"	-0.2	-0.758	-0.213	-0.397	-0.92	-2.982	-0.596
"YML061C"	-0.151	-0.273	-0.208	-0.145	-0.047	-0.54	-0.596
"YGL092W"	-0.149	-0.212	-0.508	-0.478	-0.583	-1.19	-0.597
"YGL111W"	0.416	0.407	0.522	-0.04	0.111	-0.559	-0.597
"YGR229C"	0.312	0.216	0.307	0.047	0.345	0.201	-0.597
"YBR173C"	-0.093	-0.12	-0.588	-0.45	-0.151	0.299	-0.598
"YNL291C"	0.106	0.202	0.287	-0.04	0.123	-1.14	-0.598
"YML059C"	-0.167	-0.235	-0.525	-0.12	-0.477	-1.451	-0.598
"YJL074C"	0.089	0.195	0.389	0.026	0.661	0.048	-0.599
"YNL023C"	-0.027	0.109	-0.167	-0.402	-0.61	-0.633	-0.599
"YGR200C"	0.235	0.421	0.491	-0.039	-0.223	-0.144	-0.599
"YOR198C"	0.139	-0.039	0.167	-0.032	-0.004	0.314	-0.599
"YBR254C"	0.089	0.125	0.008	0.15	0.32	-0.621	-0.6
"YJL002C"	0.383	0.455	0.567	0.515	0.618	-0.249	-0.6
"YKL068W"	0.342	0.364	0	-0.253	-0.352	-0.625	-0.601
"YOR330C"	-0.294	-0.434	0.224	-0.296	-0.153	-0.279	-0.601
"YLR286C"	0.336	0.238	0.558	0.535	0.177	-0.433	-0.602
"YNR022C"	-0.321	-0.492	-0.452	-0.289	-0.307	-0.199	-0.602
"YOR160W"	-0.078	0.045	0.342	-0.146	-0.348	-0.23	-0.604
"YLR051C"	0.187	0.236	0.216	-0.216	-0.235	-0.24	-0.605
"YLR210W"	-0.106	-0.097	-0.109	0.067	0.548	0.125	-0.605
"YHR133C"	0.038	0.152	0.716	0.025	0.034	-0.202	-0.606
"YLR187W"	-0.094	-0.252	-0.616	-1.014	-0.892	-0.044	-0.606
"YMR051C"	0.163	0.651	0.31	0.06	-0.018	-0.833	-0.608
"YDL156W"	-0.396	0.389	-0.345	-0.294	-0.396	-0.278	-0.608
"YER072W"	0.145	0.093	0.265	0.099	-0.047	-0.523	-0.608
"YJL197W"	0.118	0.221	-0.204	0.014	0.108	0.007	-0.608
"NORF 77"	0.046	0.106	-0.063	0.023	0.021	-0.82	-0.609
"YNL021W"	0.052	-0.042	-0.412	-0.189	-0.072	-0.25	-0.61
"YLR466W"	-0.015	-0.206	-0.505	-0.129	-0.259	-0.73	-0.61
"YPL163C"	0.283	0.205	-0.013	-0.136	-0.236	-1.787	-0.61
"YBR233W"	-0.536	0.123	-0.487	-0.222	-0.703	0.111	-0.61
"YDL145C"	0.135	0.384	-0.136	-0.007	-0.027	-0.968	-0.611
"YNL243W"	-0.302	-0.301	-0.329	0.045	-0.003	-0.277	-0.611
"YBL013W"	-0.879	-1.345	-0.111	-1.228	-0.839	0.844	-0.611
"YHR066W"	0.136	0.097	0.293	-0.452	-0.637	0.127	-0.612
"YHL011C"	0.144	0.142	0.246	-0.331	-0.489	-1.106	-0.613
"YDL134C"	-0.025	0.091	-0.41	-0.394	-0.095	-0.165	-0.615
"YNR012W"	0.014	0.005	-0.395	-0.614	-0.895	-0.517	-0.615
"YOR144C"	-0.112	-0.331	-0.131	-0.208	-0.593	0.219	-0.616
"YER113C"	0.281	0.332	-0.234	-0.173	-0.28	-0.602	-0.617
"NORF 50"	0.267	0.305	0.198	0.291	0.392	-0.666	-0.617
"YDL073W"	-0.175	-0.042	-0.202	-0.214	-0.091	-0.973	-0.619
"YNL059C"	-0.084	-0.308	-0.18	-0.099	-0.029	0.287	-0.619
"YGL234W"	0.18	0.264	1.073	0.65	0.752	-0.603	-0.62
"YGL122C"	0.136	0.019	-0.083	0.12	-0.067	-0.186	-0.622
"YLR138W"	-0.081	-0.166	0.051	0.087	0.224	-0.747	-0.622
"YDR353W"	0.218	0.11	-0.414	-0.44	-0.276	-0.083	-0.625
"YCR029C-A"	0.081	0.122	-0.08	-0.019	-0.279	-0.588	-0.626
"YGL039W"	0.281	0.381	0.063	-0.625	-0.521	-1.438	-0.628
"YMR199W"	-0.218	0.124	-0.616	-0.388	0.083	-1.909	-0.628
"YML032C"	-0.051	-0.008	-0.458	-0.32	-0.265	-0.565	-0.629
"YPR041W"	0.324	0.14	0.207	-0.02	-0.041	-0.344	-0.629
"YDR508C"	0.27	-0.024	-0.395	-0.68	-0.705	-1.329	-0.629
"YNL085W"	0.122	0.149	-0.049	0.015	-0.094	-0.817	-0.63
"YBR118W"	0.371	0.433	0.034	0.201	-0.318	-0.127	-0.63
"YMR149W"	0.202	0.124	0.36	0.366	0.156	0.058	-0.631
"YBR017C"	0.349	0.119	0.036	-0.072	0.152	-0.759	-0.632
"YOR287C"	0.051	-0.286	0.149	-0.57	-0.145	0.173	-0.632
"YPR105C"	-0.274	-0.222	-0.352	-0.173	0.083	-0.325	-0.635
"YIL043C"	-0.037	0.044	-0.047	0.169	0.342	-0.252	-0.635
"YBL051C"	0.088	-0.412	-0.289	-0.396	-0.405	0.235	-0.635
"YAL029C"	-0.01	1.1	0.039	0.09	-0.041	-0.9	-0.637
"YML127W"	0.312	0.18	-0.01	0.035	-0.03	-0.178	-0.637
"YDL069C"	-0.461	-0.339	-0.456	-0.22	-0.203	-0.427	-0.638
"YLR405W"	0.199	0.149	0.195	-0.189	0.029	-0.473	-0.639
"YDL140C"	-0.05	0.185	-0.355	-0.431	-0.385	-0.946	-0.641
"YBR246W"	0.176	0.2	-0.087	-0.253	-0.406	-0.28	-0.642
"YCL063W"	0.089	0.033	-0.518	-0.464	-0.183	-0.162	-0.642
"YOR233W"	-0.054	-0.178	-0.23	-0.679	-0.372	-1.202	-0.643
"YPR113W"	-0.001	0.081	0.531	0.719	0.863	1.199	-0.643
"YBL068W"	0.371	0.07	-0.038	-0.583	-0.963	-1.007	-0.644
"YFL023W"	0.473	0.227	0.365	-0.342	0.055	-0.72	-0.646
"YDL241W"	0.104	-0.249	-0.407	-0.88	-0.648	-0.24	-0.646
"YBR155W"	0.272	-0.083	-0.237	-0.872	-0.917	-2.425	-0.647
"YIL142W"	0.174	0.118	0.319	-0.026	-0.297	0.095	-0.647
"YER118C"	0.417	0.166	0.253	-0.197	-0.517	-0.764	-0.647
"YJL154C"	0.102	-0.041	-0.25	-0.243	0.155	-0.336	-0.649
"YLR022C"	-0.006	-0.095	0.004	0.092	-0.098	-0.268	-0.65
"YHR068W"	0.18	0.348	0.355	-0.043	-0.106	-0.414	-0.65
"YPL050C"	0.016	-0.079	0.104	-0.222	-0.015	-0.358	-0.65
"YKR099W"	0.049	-0.295	-0.076	-0.646	-0.951	-0.597	-0.65
"YDR120C"	0.05	-0.273	0.34	-0.441	-0.511	0.059	-0.651
"YDL166C"	-0.064	-0.134	-0.042	-0.055	0.054	-0.098	-0.651
"YJL076W"	0.165	0.151	0.018	-0.024	-0.046	-0.369	-0.652
"YPL068C"	-0.538	-0.068	-0.311	-0.774	-1.311	0.157	-0.652
"YER177W"	0.373	0.31	0.121	0.321	0.536	-0.312	-0.652
"YHR170W"	0.154	0.418	0.232	-0.07	-0.418	-0.5	-0.652
"YNL149C"	0.112	-0.049	0.125	0.154	0.076	-0.257	-0.652
"YPL242C"	-0.128	-0.112	-0.47	-0.305	-0.228	-0.933	-0.652
"YIL074W"	0.224	0.244	-0.235	-0.354	-0.549	-0.875	-0.653
"YLR358C"	0.049	0.051	-0.138	0.014	-0.081	-0.202	-0.654
"YHR204W"	0.204	0.066	0.069	-0.076	-0.066	-0.481	-0.654
"YMR215W"	0.2	0.343	0.769	0.568	0.588	0.007	-0.654
"YNL099C"	-0.179	-0.27	-0.34	-0.16	0.065	-0.341	-0.654
"YNR020C"	-0.55	-0.173	-0.511	-0.099	-0.192	-0.331	-0.656
"YBR163W"	-0.27	-0.228	0.066	-0.178	-0.642	-0.183	-0.657
"YPR085C"	-0.208	-0.336	-0.432	-0.483	-0.373	-0.474	-0.657
"YNL049C"	-0.006	0.167	-0.366	-0.284	-0.39	-0.795	-0.658
"YML045W"	0.166	0.607	0.055	0.208	-0.065	-0.924	-0.658
"YKL206C"	-0.285	-0.252	-0.346	0.144	-0.092	-0.056	-0.659
"YBR186W"	-0.177	0.986	0.16	-0.41	-0.769	-1.477	-0.66
"YLR292C"	-0.038	-0.174	-0.276	-0.126	-0.273	-0.371	-0.66
"YGR056W"	-0.119	-0.16	-0.549	-0.765	-0.733	-0.848	-0.661
"YNL216W"	-0.244	-0.139	-0.623	-0.642	-0.519	-2.086	-0.661
"YER0871C"	0.145	-0.076	0.162	0.075	0.178	-0.245	-0.662
"YHR148W"	0.104	0.602	-0.012	-0.252	-0.631	-0.405	-0.662
"YCRX04W"	0.062	-0.049	0.117	0.065	-0.531	-0.591	-0.662
"YNL024C"	-0.443	0.059	-0.17	-0.439	-0.672	-1.171	-0.665
"YKR045C"	0.062	-0.394	-0.471	-0.555	-0.406	-0.299	-0.666
"YKL083W"	0.152	-0.014	-0.387	-0.083	-0.2	-0.792	-0.666
"YLR221C"	0.464	0.158	0.01	-0.419	-0.463	-1.29	-0.667
"YPR104C"	-0.039	0.067	-0.185	-0.044	0.048	-0.51	-0.668
"YKL077W"	-0.019	0.077	-0.384	-0.169	-0.122	-0.415	-0.67
"YOL045W"	-0.136	-0.157	-0.351	-0.122	-0.116	-0.676	-0.674
"YMR125W"	0.122	-0.064	-0.272	-0.116	-0.059	-0.526	-0.677
"YLR359W"	0.439	0.844	1.095	0.711	1.147	-0.413	-0.677
"YLL039C"	0.083	-0.071	0.004	0.205	0.172	0.002	-0.677
"YEL033W"	-0.114	0.046	-0.106	-0.361	-0.518	-0.966	-0.678
"YJR075W"	0.112	-0.011	-0.117	0.006	0.186	-0.358	-0.678
"EMPTY"	0	0	0	0.326	1.922	0.39	-0.678
"YOR046C"	0.208	-0.042	0.349	-0.005	-0.297	0.523	-0.679
"YER122C"	0.386	0.266	0.127	-0.083	-0.03	0.476	-0.68
"YDL179W"	0.137	0.481	-0.529	-0.462	-0.65	-0.434	-0.68
"YKL076C"	-0.456	-0.421	-0.578	-0.429	-0.712	-1.032	-0.681
"YKR073C"	-0.041	-0.208	-0.142	-0.309	-0.271	-0.145	-0.681
"YDR050C"	0.143	0.115	0.273	0.405	0.3	0.163	-0.682
"YMR130W"	0.332	0.282	0.09	0.053	-0.257	0.112	-0.683
"YPL028W"	0.198	0.615	0.634	0.253	0.35	-0.732	-0.683
"YDL111C"	-0.084	-0.067	-0.387	-0.471	-0.364	-1.123	-0.685
"YMR211W"	0.088	0.126	0.142	-0.194	-0.327	-0.189	-0.687
"YEL003W"	0.068	-0.021	0.126	0.032	-0.159	-0.737	-0.687
