"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YOR035C"	-0.176	0.281	0.099	0.129	0.663	1.215	1.87
"YBL075C"	0.133	-0.139	-0.102	0.152	0.405	1.48	1.869
"YPR098C"	0.294	0.365	0.612	0.796	0.981	1.192	1.869
"YCL008C"	0.257	0.542	-0.241	-0.11	-0.562	-0.066	1.865
"YOL117W"	-0.398	-0.061	0.278	0.567	0.818	1.756	1.863
"YLR297W"	-0.317	0.894	0.574	0.871	0.877	2.014	1.862
"YPL230W"	-0.181	-0.077	-0.411	0.625	0.448	1.592	1.862
"YJR155W"	0.258	0.08	-0.287	-0.204	-0.312	1.651	1.861
"YKL193C"	-0.002	0.023	-0.365	0.433	0.841	2.594	1.86
"YJL088W"	-0.256	-0.607	-0.596	-0.179	-0.391	0.108	1.859
"YKL150W"	0.111	0.25	0.028	0.661	0.842	1.937	1.859
"YGR052W"	-0.873	-0.554	0.837	0.349	0.158	1.857	1.858
"YDR059C"	0.013	0.179	0.338	0.426	0.814	1.34	1.855
"YKL107W"	-0.312	-0.146	0.388	0.025	-0.214	1.061	1.854
"YOL048C"	-0.02	0.125	0.212	0.589	0.625	1.918	1.853
"YMR271C"	-0.25	-0.373	0.161	-0.04	0.33	1.755	1.852
"YOL109W"	0.697	0.89	0.821	0.767	0.419	1.367	1.851
"YCLX09W"	0.249	0.174	-0.18	-0.029	-0.059	-0.329	1.851
"YBR296C"	-0.617	-0.325	0.572	-0.963	-1.085	0.195	1.846
"YBR218C"	0.279	0.162	-0.276	-0.036	-0.074	-0.05	1.843
"YDR018C"	-0.462	1.015	-0.215	-0.305	-0.4	1.457	1.841
"YDR009W"	-0.418	-0.138	-0.155	-0.1	0.085	0.786	1.839
"YBR218C"	0.293	0.456	-0.473	-0.25	-0.098	-0.537	1.836
"YIL097W"	-0.413	0.101	-0.327	-0.11	-0.156	1.985	1.835
"YBR149W"	0.092	0.309	0.089	0.58	0.979	1.976	1.83
"YLR038C"	0.065	0.027	0.049	0.144	0.795	1.138	1.83
"YLR219W"	0.086	0.141	0.149	0.305	0.375	1.972	1.828
"YBR056W"	-0.611	-0.63	0.482	1.173	0.964	1.784	1.826
"YOL126C"	0.056	-0.085	-0.09	-0.261	0.629	1.195	1.825
"YAL060W"	0.148	0.408	0.116	0.727	0.717	2.063	1.822
"YNL093W"	-0.488	0.826	0.07	0.363	-0.047	1.977	1.817
"YKR067W"	0.109	0.022	0.157	0.658	1.024	1.241	1.817
"YIL113W"	-0.278	-0.209	-0.483	0.172	0.483	2.509	1.815
"YBR203W"	-0.368	-0.517	-0.341	-0.015	-0.194	2.114	1.811
"YER015W"	-0.444	-0.194	0.313	-0.14	-0.228	1.227	1.81
"YOR031W"	0.057	-0.056	-0.204	-0.028	0.341	2.146	1.809
"YBR046C"	-0.111	0.933	-0.702	0.124	0.177	1.929	1.806
"YKL044W"	0.054	-0.192	-0.581	-0.269	-0.395	0.481	1.805
"YLR295C"	0.077	-0.022	-0.309	0.306	0.398	1.734	1.803
"YLR423C"	-0.351	-0.187	0.598	0.423	1.131	1.876	1.8
"YDR085C"	-0.615	-0.134	0.7	0.193	1.062	1.936	1.796
"YDR329C"	-0.03	0.026	0.268	0.218	0.632	1.893	1.796
"YMR311C"	0.037	-0.158	-0.027	0.225	0.296	2.289	1.793
"YPL078C"	0.13	0.007	0.206	0.412	1.296	1.375	1.793
"YLR415C"	-0.18	-0.211	-0.236	-0.428	0.373	-0.491	1.792
"YGR194C"	-0.327	-0.108	0.286	0.907	1.303	1.722	1.789
"YGL006W"	-0.095	0.089	-0.133	0.82	1.013	1.601	1.787
"YIL162W"	0.142	0.487	0.744	0.588	0.747	3.083	1.785
"YJR008W"	-0.746	-0.746	0.479	0.162	-0.342	1.931	1.781
"YGR256W"	0.27	0.208	0.283	-0.432	0.14	1.826	1.778
"YBL107C"	0.119	0.037	0.558	0.359	0.682	1.026	1.774
"YKL171W"	-0.057	0.244	-0.147	-0.192	-0.003	1.066	1.772
"YJR096W"	-0.329	-0.026	0.107	0.607	1.401	3.067	1.771
"YPL185W"	-0.505	-0.344	-0.363	0.255	-0.231	1.692	1.766
"YGR138C"	0.346	0.633	2.075	1.714	1.216	0.812	1.764
"YLR216C"	0.435	0.254	0.197	0.56	0.549	2.25	1.762
"YNL115C"	-0.316	0.053	0.287	0.067	0.946	1.817	1.756
"YLR173W"	0.196	0.175	0.411	0.216	0.245	1.304	1.755
"YDL021W"	-0.163	0.008	0.522	1.13	1.468	2.123	1.755
"YBR006W"	-0.665	-0.724	0.419	0.505	0.499	1.53	1.755
"YOL071W"	0.012	0.033	0.371	0.599	0.531	2.141	1.752
"YGL045W"	-0.215	-0.291	-0.15	0.088	0.396	1.591	1.745
"YFL052W"	-1.036	-1.045	-0.148	-0.499	-0.57	0.859	1.743
"YLL023C"	0.16	0.09	0.484	0.74	0.921	2.386	1.738
"YMR136W"	-0.384	0.232	0.75	0.357	0.906	1.469	1.734
"YPL265W"	0.012	0.077	-0.698	-0.335	-0.771	0.011	1.732
"YOR317W"	0.343	0.633	0.392	0.839	1.122	1.461	1.731
"YCR097W"	-0.142	0.017	0.133	0.094	0.74	1.054	1.726
"YDR272W"	0.016	0.132	0.301	0.64	0.73	2.783	1.722
"YEL039C"	-0.257	-0.345	-0.268	0.172	0.472	2.153	1.719
"YBR052C"	0.049	0.105	0.65	1.31	0.917	2.401	1.715
"YMR145C"	0.202	0.39	0.465	0.349	0.521	0.796	1.714
"YOR161C"	-0.009	0.186	0.42	1.082	1.019	2.414	1.71
"YPL134C"	0.088	0.057	0.269	0.329	0.145	0.983	1.706
"YOL053W"	-0.211	0.527	0.775	0.434	0.426	1.578	1.706
"YHR053C"	0.278	-0.243	-0.167	-0.271	0.07	0.073	1.704
"YER098W"	-0.088	-0.271	0.301	0.359	-0.249	1.625	1.702
"YHR104W"	0.345	0.38	0.495	0.893	1.092	2.618	1.694
"YJL151C"	0.042	0.362	0.179	0.346	0.765	2.024	1.694
"YDR505C"	0.212	0.159	-0.154	-0.073	0.051	0.409	1.694
"YCL040W"	-0.593	-0.177	0.796	1.036	2.168	2.015	1.693
"YBL038W"	0.111	0.087	0.057	0.543	0.914	1.826	1.692
"YDL245C"	-0.122	-0.3	0.365	0.305	-0.317	1.505	1.691
"YGR224W"	-0.023	-0.092	0.329	0.056	0.021	0.845	1.689
"YGR149W"	-0.012	-0.05	0.611	0.794	0.706	1.248	1.688
"YGR066C"	-0.384	-1.078	0.256	-0.149	-0.686	2.092	1.686
"YGL192W"	-0.024	0.201	0.694	0.347	0.334	1.187	1.683
